name,id
(FT) Abandoned Cart | 30,USSwhW
(ft) All Active,V4YLEd
(ft) Broad,TgGCRS
(ft) Engaged 180-365,RuwZJp
(FT) Expected to order | Next 30D,RCiwD7
(ft) Group A: Engaged 30,XihM4N
(ft) Group B: Engaged 30-60,YyV8kq
(ft) Group C: Engaged 60-90,XcQ2DB
(ft) Group D: Engaged 90-120,ULQ77X
(ft) Group E: Engaged 120-150,XpShtt
(ft) Group F: Engaged 150-180,TuLZJc
(ft) Group G: Engaged 180-210,Y8pm97
(ft) Group G: Engaged 180+,WkhcZH
(ft) Internal,WN5BcK
(ft) No Email 30 days / engaged in 90-180 days,XNn76s
(ft) Reactivation (clone) (clone),Tg79QN
(ft) x - Bounced | 2x | Over All Time,WMAmD6
(SB) Accepts SMS,VkNTR2
(SB) Group C: Unengaged 90–120 days | Email,VEwCr5
(SB) Group E: VIP Customer | Email,WpXe4G
"1-Time Purchasers, Non-Subscriptions, Haven't Purchased in 15 Days",XmnyWp
All Customers,JJ5LVp
div--Engaged L180,SgzdUp
div--Engaged L30,RJbbFF
div--Engaged L90,RyJ4zJ
"div--Non-openers L24, Engaged L30",UPAurB
div--Zero Purchasers,RyKbfF
Non customers - Active,Stvthy
Non customers - Dormant,W9NYHH
SavvyCustomers,WpznjC
SavvyNewsletterOverlap,V5XLQe
Unengaged,MpBEHW
x - Bot Behavior (CLEAN),Sbc7z9
x - Bots Clicks + No Human Activity (CLEAN),XNWMb8
x - Email Validation (CLEAN),Xx3ZYr
x - International + Never Subscribed (CLEAN),Tx3Xev
x - Product Subscribers,VYK9xz
x - Recent Purchasers | 14 Days,YekiVx
x - TikTok (CLEAN),Y2Py4M
x - Unengaged (CLEAN),Wt6VvL
"Zero Time Purchasers, SMS Subscribers",YeA7Zp