id,name
JJ5LVp,All Customers
MpBEHW,Unengaged
QYjZbR,[Outreach] Post-Purchase Lapsed | Mailer | All
R3Jjtj,Suppression Review | Savvy
RAy2Hg,Savvy + Newsletter | Needs Email (clone)
RCiwD7,(FT) Expected to order | Next 30D
RJbbFF,div--Engaged L30
RXcm8p,(ft) Bot Clicks
RuwZJp,(ft) Engaged 180-365
RxczAW,0x purchasers
RyJ4zJ,div--Engaged L90
RyKbfF,div--Zero Purchasers
S9wq7c,(ft) Group C: Engaged 60-90
Sbc7z9,x - Bot Behavior (CLEAN)
SgzdUp,div--Engaged L180
Sk5nWH,2x+ purchasers
SkMUWv,(ft) Group B: Engaged 30-60
St6Byp,(ft) TX SMS -- Suppress
Stvthy,Non customers - Active
T7XtwQ,(ft) Group F: Engaged 150-180
T9DsnB,(ft) ReactivationTargets_ManuallySuppressedPastCustomers12012025
TG7GPM,(ft) Post-Purchase Lapsing
TLJdrW,Suppression Review | Savvy (clone)
TfyTZL,(ft) Dormant (clone)
Tg79QN,(ft) Reactivation (clone) (clone)
TgGCRS,(ft) Broad
TnFJCP,(ft) Group D: Engaged 90-120
TuLZJc,(ft) Group F: Engaged 150-180
Tx3Xev,x - International + Never Subscribed (CLEAN)
UGDvAX,(FT) Received Previous Email // Did Not Open 24 Hours
UJYxie,(ft) Pre-Purchase Lapsed
ULQ77X,(ft) Group D: Engaged 90-120
UPAurB,"div--Non-openers L24, Engaged L30"
USSwhW,(FT) Abandoned Cart | 30
UWCy5q,(ft) Post-Purchase Lapsing
V4YLEd,(ft) All Active
V5XLQe,SavvyNewsletterOverlap
VEwCr5,(SB) Group C: Unengaged 90â€“120 days | Email
VMMpvG,(ft) Manual Suppression Review | Previously Engaged
VY8MLv,Likely Male
VYK9xz,x - Product Subscribers
VkNTR2,(SB) Accepts SMS
VvCzsC,(FT) All Active | 90 Days
VvUac9,(ft) Group A: Engaged 30
W7DZQN,(FT) 1x Customers | Active
W9NYHH,Non customers - Dormant
WKucaZ,x - TikTok (CLEAN)
WMAmD6,(ft) x - Bounced | 2x | Over All Time
WN5BcK,(ft) Internal
WVXsvj,(ft) Post-Purchase Lapsed
WasUTG,(ft) ReactivationTargets_12012025
WbG29Q,(FT) 0x Customers | Active
Wj5pPD,(ft) Pre-Purchase Lapsing
WkhcZH,(ft) Group G: Engaged 180+
WpXe4G,(SB) Group E: VIP Customer | Email
WpznjC,SavvyCustomers
Wt6VvL,x - Unengaged (CLEAN)
WyfjDL,[Outreach] Pre-Purchase Lapsed
XEJMhh,1x purchasers
XNWMb8,x - Bots Clicks + No Human Activity (CLEAN)
XNn76s,(ft) No Email 30 days / engaged in 90-180 days
XWxApX,(ft) Group E: Engaged 120-150
XcQ2DB,(ft) Group C: Engaged 60-90
XihM4N,(ft) Group A: Engaged 30
XmnyWp,"1-Time Purchasers, Non-Subscriptions, Haven't Purchased in 15 Days"
XpShtt,(ft) Group E: Engaged 120-150
Xx3ZYr,x - Email Validation (CLEAN)
Y2Py4M,x - TikTok (CLEAN)
Y2ZLVk,(ft) Dormant
Y6Laae,(FT) 2x+ Customers | Active
Y8pm97,(ft) Group G: Engaged 180-210
YeA7Zp,"Zero Time Purchasers, SMS Subscribers"
YekiVx,x - Recent Purchasers | 14 Days
Yq94vM,(ft) Active
YtMXH4,[Outreach] Post-Purchase Lapsed
YyV8kq,(ft) Group B: Engaged 30-60
